n,NveSimpleBNlearn,NvSimplegRain,NvSimpleBeliefePropagation,ScSimpleBelifePropagation,ScSimpleBNlearn,ScSimplegRain
3,0.89642,0.8960000000000001,0.8960000000000001,0.8960000000000001,0.8954999999999999,0.8960000000000001
4,0.97231,0.9728,0.9728,0.9727999999999998,0.9727749999999998,0.9728
5,0.942085,0.9420800000000001,0.9420800000000001,0.9420800000000001,0.9417699999999998,0.9420800000000001
6,0.9011699999999999,0.9011199999999999,0.9011199999999999,0.9011199999999999,0.9016500000000001,0.9011199999999999
7,0.9660700000000002,0.9666560000000001,0.9666560000000001,0.9666559999999998,0.9671200000000001,0.9666560000000001
8,0.989905,0.9895935999999999,0.9895935999999999,0.9895935999999999,0.9898133333333334,0.9895935999999999
9,0.9803133333333331,0.98041856,0.98041856,0.98041856,0.9805333333333334,0.98041856
10,0.9669199999999998,0.9672065024000001,0.9672065024000001,0.9672065024000001,0.9677966666666666,0.9672065024000001
11,0.9883900000000001,0.9883457945600002,0.9883457945600002,0.98834579456,0.9881133333333334,0.9883457945600002
12,0.9962025000000001,0.9960968683520003,0.9960968683520003,0.9960968683520003,0.9959400000000003,0.9960968683520003
13,0.9929474999999999,0.9929964388351996,0.9929964388351997,0.9929964388352,0.9929166666666666,0.9929964388351997
14,0.9885699999999998,0.9883900864102401,0.9883900864102403,0.9883900864102403,0.9883366666666668,0.9883900864102403
15,0.9957280000000003,0.9957602502901762,0.9957602502901759,0.9957602502901757,0.9957533333333333,0.9957602502901759
16,0.9985160000000002,0.9985240617451518,0.9985240617451518,0.9985240617451518,0.9985299999999999,0.9985240617451518
17,0.9975480000000001,0.9974185371631611,0.9974185371631613,0.9972900000000001,0.997418537163162
18,0.9958459999999999,0.9957479666837065,0,0.9957479666837094,0.9957849999999999,0.9957479666837094
19,0.9984083333333332,0.998420879450834,0,0.998420879450833,0.9985225000000002,0.998420879450833
20,0.9994566666666665,0.9994365863023399,0,0.99943658630234,0.9994474999999999,0.99943658630234
21,0.9990633333333333,0.9990303035617311,0,0.9990303035617373,0.9990699999999999,0.9990303035617373
22,0.9984171428571427,0.9984097990124932,0,0.9984097990124529,0.9983700000000001,0.9984097990124529
23,0.9994071428571429,0.9994026062913095,0,0.9994026062913077,0.9994375000000002,0.9994026062913077
24,0.9997957142857145,0.9997831824148731,0,0.9997831824148686,0.999775,0.9997831824148686
25,0.9996112500000003,0.9996309519654186,0,0.999630951965444,0.9996525,0.999630951965444

